id,priority,category,catalog,po,line,source,translation,proposal,reason
F001,P1,Format,locale-langpack/cinder,po/locale-langpack/cinder.po,1695,Error getting replication source details. Return code: %(ret.status)d Message: %(ret.data)s .,Fel vid hämtning av replikationskällans detaljer. Returkod: %(ret.statuss)d Meddelande: %(ret.data)s .,Fel vid hämtning av replikationskällans detaljer. Returkod: %(ret.status)d Meddelande: %(ret.data)s .,ret.status har blivit ret.statuss. Formatering med originalets nycklar ger KeyError.
F002,P2,Format,locale-langpack/glance,po/locale-langpack/glance.po,1473,"The Image %(image_id)s object being created by this task %(task_id)s, is no longer in valid status for further processing.","Avbildobjektet %(image_id) som skapas av den här uppgiften %(task_id)s, är inte längre i en giltig status för vidare behandling.","Avbildobjektet %(image_id)s som skapas av den här uppgiften %(task_id)s, är inte längre i en giltig status för vidare behandling.",%(image_id) saknar s. Python konsumerar mellanslaget och s i ordet som som formatsyntax: exempelvärdet image-1 följs av om i stället för som.
F003,P1,Format,locale-langpack/gdb,po/locale-langpack/gdb.po,14147,"Trace started at %ld.%06ld secs, stopped %ld.%06ld secs later.
","Spårningen startade vid %ld.%06 sekunder och avslutades %ld.%06 sekunder senare
","Spårningen startade vid %ld.%06ld sekunder och avslutades %ld.%06ld sekunder senare
",Båda %06ld har trunkerats till %06. Formatkontraktet och återgivningen av tidsvärden går förlorade.
F004,P2,Format,locale/OpenSP,po/locale/OpenSP.po,799,document type does not allow element %1 here; assuming missing %2 start-tag,dokumenttypen tillåter ej elementet %1 här; antar att starttaggen %1 saknas,dokumenttypen tillåter ej elementet %1 här; antar att starttaggen %2 saknas,Den andra platshållaren ska vara %2; nu visas argument %1 två gånger.
F005,P2,Format,locale/OpenSP,po/locale/OpenSP.po,874,empty host in HTTP URL %1,tom värd i HTTP-URL:en(%),tom värd i HTTP-URL:en %1,"%1 har ersatts med (%), så den berörda URL-adressen kan inte återges korrekt."
F006,P2,Format,locale/OpenSP,po/locale/OpenSP.po,1120,invalid formal public identifier %1: no SPACE after public text class,ogiltig formell publik identifierare: inget SPACE efter publik textklass,ogiltig formell publik identifierare %1: inget SPACE efter publik textklass,Originalets %1 saknas i översättningen.
F007,P2,Format,locale/OpenSP,po/locale/OpenSP.po,1126,invalid host number %1,ogiltigt värdnummer,ogiltigt värdnummer %1,Originalets %1 saknas i översättningen.
F008,P2,Format,locale/OpenSP,po/locale/OpenSP.po,1390,normalized length of attribute value literal must not exceed LITLEN (%1); length was %2,längden av normaliserad attributvärdesliteral får ej överskrida LITLEN (%d); längden var %2,längden av normaliserad attributvärdesliteral får ej överskrida LITLEN (%1); längden var %2,"%1 har ändrats till %d, vilket är en annan formatsyntax."
F009,P2,Format,locale/OpenSP,po/locale/OpenSP.po,1537,reference to external data entity %1 not allowed in XML,referens till extern dataentitet ej tillåtet i XML,referens till extern dataentitet %1 ej tillåtet i XML,Originalets %1 saknas; felmeddelandet tappar uppgiften om vilken entitet som avses.
F010,P2,Format,locale/OpenSP,po/locale/OpenSP.po,1546,reference to internal SDATA entity %1 not allowed in XML,referens till intern SDATA-entitet ej tillåtet i XML,referens till intern SDATA-entitet %1 ej tillåtet i XML,Originalets %1 saknas; felmeddelandet tappar uppgiften om vilken entitet som avses.
F011,P2,Format,locale/OpenSP,po/locale/OpenSP.po,1567,reference to subdocument entity %1 not allowed in XML,referens till subdokumententitet ej tillåtet i XML,referens till subdokumententitet %1 ej tillåtet i XML,Originalets %1 saknas; felmeddelandet tappar uppgiften om vilken entitet som avses.
F012,P2,Format,locale-langpack/dpkg,po/locale-langpack/dpkg.po,3433,need a pathname argument,--%s behöver ett sökvägsnamnargument,behöver ett sökvägsargument,Originalet innehåller ingen %s. Översättningen har kvar en platshållare och ett prefix som saknar motsvarighet i källtexten.
F012,P2,Format,locale/dpkg,po/locale/dpkg.po,3412,need a pathname argument,--%s behöver ett sökvägsnamnargument,behöver ett sökvägsargument,Originalet innehåller ingen %s. Översättningen har kvar en platshållare och ett prefix som saknar motsvarighet i källtexten.
F013,P2,Format,locale-langpack/binutils,po/locale-langpack/binutils.po,9133,can't create debugging section,kan inte skapa felsökningssektionen: %s,kan inte skapa felsökningssektionen,Källtexten har ingen formateringsparameter; den svenska texten lägger till : %s.
F014,P2,Format,locale-langpack/binutils,po/locale-langpack/binutils.po,9601,error copying private BFD data,fel vid kopiering av privat BFD-data: %s,fel vid kopiering av privat BFD-data,Källtexten har ingen formateringsparameter; den svenska texten lägger till : %s.
F015,P2,Format,locale-langpack/cryptsetup,po/locale-langpack/cryptsetup.po,2486,Root hash signature verification is not supported.,Begärd hashsignaturverifiering %s stöds inte.,Verifiering av rothashsignaturer stöds inte.,Root hash har fått annan innebörd och översättningen innehåller en %s som originalet saknar.
F016,P2,Format,locale-langpack/cryptsetup,po/locale-langpack/cryptsetup.po,2717,Unexpected metadata entry found when parsing startup key.,Oväntad metadatapost av typ ”%u” funnen vid tolkning av uppstartsnyckel.,Oväntad metadatapost funnen vid tolkning av uppstartsnyckel.,Originalet anger inte någon numerisk posttyp men översättningen kräver ett sådant argument.
F017,P2,Format,locale-langpack/fetchmail,po/locale-langpack/fetchmail.po,2123,"fetchmail: configuration invalid, --moveto is only valid for IMAP servers
","fetchmail: %s-konfigurationen är ogiltig, --moveto är endast giltigt för IMAP-servrar
","fetchmail: konfigurationen är ogiltig, --moveto är endast giltigt för IMAP-servrar
",Översättningen har ett formatargument som inte finns i originalet.
F018,P2,Format,locale-langpack/gas,po/locale-langpack/gas.po,11177,instruction requires label sans '$',instruktion kräver etikett utan ”%s”,instruktion kräver etikett utan ”$”,Originalets bokstavliga $ får inte ersättas med ett nytt formatargument.
F019,P2,Betydelse och format,locale-langpack/gdb,po/locale-langpack/gdb.po,3188,"Case sensitivity in name search is ""%s"".
","Namnsökningen är inte skiftlägeskänslig
","Namnsökningens skiftlägeskänslighet är ”%s”.
",Originalet återger inställningen via %s. Översättningen säger alltid att sökningen inte är skiftlägeskänslig.
F020,P2,Format,locale-langpack/gdb,po/locale-langpack/gdb.po,9950,Section %s not found,Kapitel &s hittades inte,Sektionen %s hittades inte,Sektionens namn försvinner eftersom procenttecknet har blivit &.
F021,P2,Format,locale-langpack/git,po/locale-langpack/git.po,8271,commit-graph file is too small,incheckningsgraffilen %s är för liten,incheckningsgraffilen är för liten,Källtexten har ingen platshållare för filnamn men översättningen har %s.
F022,P2,Format,locale-langpack/ld,po/locale-langpack/ld.po,1712,"%P: %s: duplicated plugin
","%P: %s: duplicerat instick: %s
","%P: %s: duplicerat instick
",Översättningen innehåller två %s medan originalet bara innehåller en. %P är länkarens egna direktiv och ska bevaras.
F023,P2,Format,locale-langpack/libgphoto2-2,po/locale-langpack/libgphoto2-2.po,6856,Transmission timed out even after 2 retries. Giving up...,Överföringen tog för lång tid och avbröts efter %i försök. Ger upp…,Överföringen överskred tidsgränsen även efter två nya försök. Ger upp…,Originalets fasta två återförsök har blivit ett formatargument som inte finns i originalet.
